[2025-01-24 00:07:47,990 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=129, shift=preds_0
[2025-01-24 00:07:48,323 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=130, shift=preds_0
[2025-01-24 00:07:48,648 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=131, shift=preds_0
[2025-01-24 00:07:49,015 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=132, shift=preds_0
[2025-01-24 00:07:49,354 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=133, shift=preds_0
[2025-01-24 00:07:49,735 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=134, shift=preds_0
[2025-01-24 00:07:50,071 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=135, shift=preds_0
[2025-01-24 00:07:50,396 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=136, shift=preds_0
[2025-01-24 00:07:50,723 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=137, shift=preds_0
[2025-01-24 00:07:51,063 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=138, shift=preds_0
[2025-01-24 00:07:51,462 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=139, shift=preds_0
[2025-01-24 00:07:51,791 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=140, shift=preds_0
[2025-01-24 00:07:52,139 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=141, shift=preds_0
[2025-01-24 00:07:52,468 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=142, shift=preds_0
[2025-01-24 00:07:52,794 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=143, shift=preds_0
[2025-01-24 00:07:53,171 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=144, shift=preds_0
[2025-01-24 00:07:53,507 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=145, shift=preds_0
[2025-01-24 00:07:53,831 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=146, shift=preds_0
[2025-01-24 00:07:54,179 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=147, shift=preds_0
[2025-01-24 00:07:54,516 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=148, shift=preds_0
[2025-01-24 00:07:54,845 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=149, shift=preds_0
[2025-01-24 00:07:55,255 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=150, shift=preds_0
[2025-01-24 00:07:55,595 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=151, shift=preds_0
[2025-01-24 00:07:55,929 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=152, shift=preds_0
[2025-01-24 00:07:56,273 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=153, shift=preds_0
[2025-01-24 00:07:56,618 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=154, shift=preds_0
[2025-01-24 00:07:56,946 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=155, shift=preds_0
[2025-01-24 00:07:58,095 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=156, shift=preds_0
[2025-01-24 00:07:58,430 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=157, shift=preds_0
[2025-01-24 00:07:58,760 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=158, shift=preds_0
[2025-01-24 00:07:59,325 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=159, shift=preds_0
[2025-01-24 00:07:59,656 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=160, shift=preds_0
[2025-01-24 00:07:59,985 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=161, shift=preds_0
[2025-01-24 00:08:00,330 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=162, shift=preds_0
[2025-01-24 00:08:00,716 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=163, shift=preds_0
[2025-01-24 00:08:01,044 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=164, shift=preds_0
[2025-01-24 00:08:01,379 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=165, shift=preds_0
[2025-01-24 00:08:01,720 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=166, shift=preds_0
[2025-01-24 00:08:02,095 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=167, shift=preds_0
[2025-01-24 00:08:04,307 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=168, shift=preds_0
[2025-01-24 00:08:05,538 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=169, shift=preds_0
[2025-01-24 00:08:06,327 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=170, shift=preds_0
[2025-01-24 00:08:06,659 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=171, shift=preds_0
[2025-01-24 00:08:06,986 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=172, shift=preds_0
[2025-01-24 00:08:07,400 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=173, shift=preds_0
[2025-01-24 00:08:07,729 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=174, shift=preds_0
[2025-01-24 00:08:08,070 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=175, shift=preds_0
[2025-01-24 00:08:08,396 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=176, shift=preds_0
[2025-01-24 00:08:08,731 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=177, shift=preds_0
[2025-01-24 00:08:13,644 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=178, shift=preds_0
[2025-01-24 00:08:13,988 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=179, shift=preds_0
[2025-01-24 00:08:14,478 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=180, shift=preds_0
[2025-01-24 00:08:14,804 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=181, shift=preds_0
[2025-01-24 00:08:15,140 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=182, shift=preds_0
[2025-01-24 00:08:15,473 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=183, shift=preds_0
[2025-01-24 00:08:15,818 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=184, shift=preds_0
[2025-01-24 00:08:18,848 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=185, shift=preds_0
[2025-01-24 00:08:20,507 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=186, shift=preds_0
[2025-01-24 00:08:21,792 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=187, shift=preds_0
[2025-01-24 00:08:22,150 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=188, shift=preds_0
[2025-01-24 00:08:22,477 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=189, shift=preds_0
[2025-01-24 00:08:22,835 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=190, shift=preds_0
[2025-01-24 00:08:24,156 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=191, shift=preds_0
[2025-01-24 00:08:24,505 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=192, shift=preds_0
[2025-01-24 00:08:25,923 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=193, shift=preds_0
[2025-01-24 00:08:27,864 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=194, shift=preds_0
[2025-01-24 00:08:36,644 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=195, shift=preds_0
[2025-01-24 00:08:37,093 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=196, shift=preds_0
[2025-01-24 00:08:37,417 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=197, shift=preds_0
[2025-01-24 00:08:37,744 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=198, shift=preds_0
[2025-01-24 00:08:38,168 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=199, shift=preds_0
[2025-01-24 00:08:38,494 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=200, shift=preds_0
[2025-01-24 00:08:38,825 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=201, shift=preds_0
[2025-01-24 00:08:39,169 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=202, shift=preds_0
[2025-01-24 00:08:39,496 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=203, shift=preds_0
[2025-01-24 00:08:39,824 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=204, shift=preds_0
[2025-01-24 00:08:40,150 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=205, shift=preds_0
[2025-01-24 00:08:40,474 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=206, shift=preds_0
[2025-01-24 00:08:40,813 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=207, shift=preds_0
[2025-01-24 00:08:43,029 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=208, shift=preds_0
[2025-01-24 00:08:43,949 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=209, shift=preds_0
[2025-01-24 00:08:44,286 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=210, shift=preds_0
[2025-01-24 00:08:44,610 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=211, shift=preds_0
[2025-01-24 00:08:44,955 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=212, shift=preds_0
[2025-01-24 00:08:47,355 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=213, shift=preds_0
[2025-01-24 00:08:47,689 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=214, shift=preds_0
[2025-01-24 00:08:48,022 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=215, shift=preds_0
[2025-01-24 00:08:48,370 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=216, shift=preds_0
[2025-01-24 00:08:48,710 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=217, shift=preds_0
[2025-01-24 00:08:49,043 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=218, shift=preds_0
