[2025-01-24 00:07:58,430 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=141, shift=preds_0
[2025-01-24 00:07:58,919 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=142, shift=preds_0
[2025-01-24 00:07:59,374 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=143, shift=preds_0
[2025-01-24 00:08:04,462 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=144, shift=preds_0
[2025-01-24 00:08:06,047 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=145, shift=preds_0
[2025-01-24 00:08:06,468 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=146, shift=preds_0
[2025-01-24 00:08:09,041 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=147, shift=preds_0
[2025-01-24 00:08:09,427 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=148, shift=preds_0
[2025-01-24 00:08:09,887 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=149, shift=preds_0
[2025-01-24 00:08:12,251 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=150, shift=preds_0
[2025-01-24 00:08:12,745 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=151, shift=preds_0
[2025-01-24 00:08:13,203 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=152, shift=preds_0
[2025-01-24 00:08:13,690 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=153, shift=preds_0
[2025-01-24 00:08:14,151 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=154, shift=preds_0
[2025-01-24 00:08:14,603 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=155, shift=preds_0
[2025-01-24 00:08:15,046 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=156, shift=preds_0
[2025-01-24 00:08:15,495 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=157, shift=preds_0
[2025-01-24 00:08:15,932 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=158, shift=preds_0
[2025-01-24 00:08:16,370 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=159, shift=preds_0
[2025-01-24 00:08:16,816 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=160, shift=preds_0
[2025-01-24 00:08:17,260 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=161, shift=preds_0
[2025-01-24 00:08:17,708 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=162, shift=preds_0
[2025-01-24 00:08:18,146 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=163, shift=preds_0
[2025-01-24 00:08:18,577 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=164, shift=preds_0
[2025-01-24 00:08:19,016 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=165, shift=preds_0
[2025-01-24 00:08:19,501 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=166, shift=preds_0
[2025-01-24 00:08:19,977 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=167, shift=preds_0
[2025-01-24 00:08:20,434 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=168, shift=preds_0
[2025-01-24 00:08:20,894 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=169, shift=preds_0
[2025-01-24 00:08:21,356 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=170, shift=preds_0
[2025-01-24 00:08:21,861 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=171, shift=preds_0
[2025-01-24 00:08:22,343 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=172, shift=preds_0
[2025-01-24 00:08:22,821 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=173, shift=preds_0
[2025-01-24 00:08:23,289 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=174, shift=preds_0
[2025-01-24 00:08:23,794 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=175, shift=preds_0
[2025-01-24 00:08:24,251 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=176, shift=preds_0
[2025-01-24 00:08:26,534 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=177, shift=preds_0
[2025-01-24 00:08:26,984 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=178, shift=preds_0
[2025-01-24 00:08:27,796 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=179, shift=preds_0
[2025-01-24 00:08:28,248 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=180, shift=preds_0
[2025-01-24 00:08:28,705 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=181, shift=preds_0
[2025-01-24 00:08:29,200 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=182, shift=preds_0
[2025-01-24 00:08:29,660 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=183, shift=preds_0
[2025-01-24 00:08:30,140 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=184, shift=preds_0
[2025-01-24 00:08:38,608 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=185, shift=preds_0
[2025-01-24 00:08:39,662 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=186, shift=preds_0
[2025-01-24 00:08:40,093 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=187, shift=preds_0
[2025-01-24 00:08:40,556 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=188, shift=preds_0
[2025-01-24 00:08:40,948 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=189, shift=preds_0
[2025-01-24 00:08:41,418 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=190, shift=preds_0
[2025-01-24 00:08:41,885 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=191, shift=preds_0
[2025-01-24 00:08:42,336 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=192, shift=preds_0
[2025-01-24 00:08:44,442 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=193, shift=preds_0
[2025-01-24 00:08:45,107 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=194, shift=preds_0
[2025-01-24 00:08:45,553 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=195, shift=preds_0
[2025-01-24 00:08:45,990 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=196, shift=preds_0
[2025-01-24 00:08:46,472 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=197, shift=preds_0
[2025-01-24 00:08:46,929 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=198, shift=preds_0
[2025-01-24 00:08:49,310 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=199, shift=preds_0
[2025-01-24 00:08:49,710 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=200, shift=preds_0
